,id,time,fuel
468,DLH08W_EDDF_LFPG_20140912100500.scn,16:27:54,[58713.57445844]
469,TAP1015_LEMD_LPPT_20140912130000.scn,13:43:37,[16281.43653491]
470,PRI5403_LFLL_LFPG_20140912003000.scn,01:09:24,[63912.91398815]
471,TAY011_KJFK_EBLG_20140912140000.scn,20:46:36,[227142.8146674]
472,AZA1572_LIEA_LIRF_20140912053000.scn,06:12:22,[62576.87960751]
473,EXS79G_EGNM_LPMA_20140912132000.scn,09:47:52,[44874.77734786]
474,EIN111_EINN_KJFK_20140912112000.scn,18:12:43,[75775.10985994]
475,AFR234H_LFML_LIPZ_20140912082000.scn,09:13:57,[62129.81520812]
476,GWI2807_BIKF_EDDS_20140912003000.scn,03:46:49,[53569.52965679]
477,KLM1395_EHAM_ULLI_20140912104500.scn,13:10:52,[55184.40403746]
478,AUA522D_LIPZ_LOWW_20140912085500.scn,17:51:49,[16789.64396011]
479,RYR5008_GMMW_EDFH_20140912183500.scn,21:18:33,[59053.4831961]
480,EZY471_EGAA_EGPF_20140912201000.scn,00:02:31,[59803.61065954]
481,PGT424_LIPE_LTFJ_20140912122000.scn,14:28:27,[60382.02311799]
482,WZZ114_EGGW_LKPR_20140912195000.scn,22:38:21,[60554.83440975]
483,AFL2352_UUEE_LOWW_20140912122500.scn,14:43:45,[66369.02443087]
484,BEL724_LSGG_EBBR_20140912190500.scn,20:02:21,[22808.57031774]
485,SWR779_EBBR_LSZH_20140912085400.scn,18:53:51,[62593.28753642]
486,ROT608D_LRTR_LROP_20140912161000.scn,16:52:30,[117587.57315292]
487,TFL219_EHAM_LGSM_20140912033000.scn,06:44:04,[58245.69846598]
488,AUA381_LOWW_UKLL_20140912110000.scn,12:07:00,[16676.32754143]
489,FPO551_LFRN_LFRB_20140912005500.scn,01:12:49,[51992.47344948]
490,DTH3057_LFMH_DAAS_20140912143000.scn,16:30:22,[62185.27101479]
491,BAW66Q_EGKK_GMMX_20140912140500.scn,16:08:15,[50785.84173286]
492,AUA601_LOWW_UUDD_20140912080000.scn,10:14:55,[59059.25110887]
493,BER717E_LOWG_EDDT_20140912125000.scn,13:39:54,[58146.1066805]
494,DLH156_EDDF_EDDP_20140912072500.scn,08:06:45,[59025.45409014]
495,SAS1842_LIRF_ESSA_20140912081000.scn,16:33:16,[59329.84450263]
496,MIBID_LGIR_LGAV_20140912110000.scn,11:20:27,[283367.7254152]
497,DLH1HU_EDDK_EDDM_20140912073000.scn,11:41:46,[62631.70925795]
498,QTR022_EGCC_OTHH_20140912082500.scn,20:24:42,[156683.0591244]
499,SHT2J_EGLL_EGCC_20140912075500.scn,08:32:46,[63210.63291989]
500,CCA931_ZBAA_EDDF_20140912060000.scn,03:47:30,[206706.56649255]
501,BEL7PC_EBBR_LIML_20140912143500.scn,15:27:01,[57871.02166614]
502,NJE2FD_LIRA_LIEO_20140912120000.scn,12:56:16,[15107.6521585]
503,SAS1042_ESSA_ESNQ_20140912095000.scn,11:10:37,[57312.76396685]
504,OHY2160_EDDC_LTAI_20140912184000.scn,12:14:10,[65119.36007261]
505,MON752A_EGKK_LTBS_20140912200000.scn,00:13:37,[172129.72512854]
506,TAP803L_LIMC_LPPT_20140912094200.scn,21:24:10,[59034.98387983]
507,DLH8PK_LHBP_EDDM_20140912181500.scn,07:38:04,[278946.39452352]
508,SAS618_LSGG_EKCH_20140912180500.scn,01:27:51,[273037.28616298]
509,VLG2473_GCRR_LEBL_20140912145000.scn,02:56:51,[57569.03151692]
510,EZY92FN_LPPT_EGGP_20140912121500.scn,14:33:34,[55307.19226726]
511,KLM59Z_EHAM_LSGG_20140912193000.scn,06:17:28,[57675.76158293]
512,PGT4629_LTCJ_LTFJ_20140912083500.scn,20:56:07,[61949.09272335]
513,ADH931_LICC_LIRP_20140912072000.scn,06:08:24,[61433.34656937]
514,AEE929_LLBG_LGAV_20140912023000.scn,04:13:06,[60680.72163308]
515,LBT7362_DTNH_LKPR_20140912104500.scn,07:09:51,[59174.10005371]
516,AUI34L_UKLL_UKBB_20140912040000.scn,04:43:39,[63770.83842942]
517,BLX328_LGKO_ESSA_20140912103000.scn,13:49:00,[134912.44676993]
518,BAW4TM_EHRD_EGLL_20140912082000.scn,20:44:49,[59289.17970669]
519,DLH08W_EDDF_LFPG_20140912100500.scn,16:27:55,[58707.96511942]
520,TAP1015_LEMD_LPPT_20140912130000.scn,13:43:37,[16281.93056457]
521,PRI5403_LFLL_LFPG_20140912003000.scn,01:09:22,[63922.12927623]
522,TAY011_KJFK_EBLG_20140912140000.scn,20:46:37,[227334.94256285]
523,AZA1572_LIEA_LIRF_20140912053000.scn,06:12:19,[62565.64086836]
524,EXS79G_EGNM_LPMA_20140912132000.scn,09:47:57,[44929.07405977]
525,EIN111_EINN_KJFK_20140912112000.scn,18:15:39,[75646.59633462]
